period,fueltypeid,fuelTypeDescription,generation,generation-units,year,month
2022-03-01,ALL,all fuels,324530.48058,thousand megawatthours,2022,3
2022-03-01,WND,wind,43030.54797,thousand megawatthours,2022,3
2022-03-01,SUN,solar,11694.22208,thousand megawatthours,2022,3
2022-03-01,NUC,nuclear,63153.701,thousand megawatthours,2022,3
2022-03-01,NG,natural gas,112477.26754,thousand megawatthours,2022,3
2022-03-01,HYC,conventional hydroelectric,24436.41649,thousand megawatthours,2022,3
2022-03-01,COL,"coal, excluding waste coal",60466.9228,thousand megawatthours,2022,3
2022-02-01,SUN,solar,9026.75939,thousand megawatthours,2022,2
2022-02-01,HYC,conventional hydroelectric,21320.56822,thousand megawatthours,2022,2
2022-02-01,COL,"coal, excluding waste coal",70309.9795,thousand megawatthours,2022,2
2022-02-01,ALL,all fuels,324310.77193,thousand megawatthours,2022,2
2022-02-01,NUC,nuclear,61852.177,thousand megawatthours,2022,2
2022-02-01,NG,natural gas,114945.42818,thousand megawatthours,2022,2
2022-02-01,WND,wind,37644.62607,thousand megawatthours,2022,2
2022-01-01,ALL,all fuels,373765.70458,thousand megawatthours,2022,1
2022-01-01,WND,wind,37416.32051,thousand megawatthours,2022,1
2022-01-01,SUN,solar,7821.62574,thousand megawatthours,2022,1
2022-01-01,NUC,nuclear,70576.875,thousand megawatthours,2022,1
2022-01-01,NG,natural gas,134947.53058,thousand megawatthours,2022,1
2022-01-01,HYC,conventional hydroelectric,24197.61344,thousand megawatthours,2022,1
2022-01-01,COL,"coal, excluding waste coal",86801.63853,thousand megawatthours,2022,1
2021-12-01,HYC,conventional hydroelectric,23561.87556,thousand megawatthours,2021,12
2021-12-01,COL,"coal, excluding waste coal",59267.92449,thousand megawatthours,2021,12
2021-12-01,ALL,all fuels,337103.56092,thousand megawatthours,2021,12
2021-12-01,NUC,nuclear,70719.837,thousand megawatthours,2021,12
2021-12-01,WND,wind,39849.02762,thousand megawatthours,2021,12
2021-12-01,SUN,solar,6090.86526,thousand megawatthours,2021,12
2021-12-01,NG,natural gas,127586.43005,thousand megawatthours,2021,12
2021-11-01,SUN,solar,7795.101,thousand megawatthours,2021,11
2021-11-01,NUC,nuclear,62749.318,thousand megawatthours,2021,11
2021-11-01,NG,natural gas,122433.25919,thousand megawatthours,2021,11
2021-11-01,HYC,conventional hydroelectric,19373.24966,thousand megawatthours,2021,11
2021-11-01,COL,"coal, excluding waste coal",56827.8991,thousand megawatthours,2021,11
2021-11-01,ALL,all fuels,314309.52061,thousand megawatthours,2021,11
2021-11-01,WND,wind,35751.09063,thousand megawatthours,2021,11
2021-10-01,SUN,solar,9268.03855,thousand megawatthours,2021,10
2021-10-01,HYC,conventional hydroelectric,17132.93623,thousand megawatthours,2021,10
2021-10-01,COL,"coal, excluding waste coal",62025.66766,thousand megawatthours,2021,10
2021-10-01,ALL,all fuels,320201.77808,thousand megawatthours,2021,10
2021-10-01,NUC,nuclear,58401.112,thousand megawatthours,2021,10
2021-10-01,NG,natural gas,131851.68145,thousand megawatthours,2021,10
2021-10-01,WND,wind,32215.11144,thousand megawatthours,2021,10
2021-09-01,ALL,all fuels,347743.77489,thousand megawatthours,2021,9
2021-09-01,WND,wind,28997.8029,thousand megawatthours,2021,9
2021-09-01,SUN,solar,11214.24963,thousand megawatthours,2021,9
2021-09-01,NUC,nuclear,64520.031,thousand megawatthours,2021,9
2021-09-01,NG,natural gas,138214.4087,thousand megawatthours,2021,9
2021-09-01,HYC,conventional hydroelectric,17022.26652,thousand megawatthours,2021,9
2021-09-01,COL,"coal, excluding waste coal",78336.6771,thousand megawatthours,2021,9
2021-08-01,ALL,all fuels,412864.76753,thousand megawatthours,2021,8
2021-08-01,WND,wind,27071.12204,thousand megawatthours,2021,8
2021-08-01,SUN,solar,11966.82782,thousand megawatthours,2021,8
2021-08-01,NUC,nuclear,69471.331,thousand megawatthours,2021,8
2021-08-01,NG,natural gas,172716.00517,thousand megawatthours,2021,8
2021-08-01,HYC,conventional hydroelectric,20328.14723,thousand megawatthours,2021,8
2021-08-01,COL,"coal, excluding waste coal",101203.99686,thousand megawatthours,2021,8
2021-07-01,NG,natural gas,170189.36311,thousand megawatthours,2021,7
2021-07-01,HYC,conventional hydroelectric,22097.51226,thousand megawatthours,2021,7
2021-07-01,COL,"coal, excluding waste coal",100844.26295,thousand megawatthours,2021,7
2021-07-01,ALL,all fuels,405624.09062,thousand megawatthours,2021,7
2021-07-01,WND,wind,21715.55151,thousand megawatthours,2021,7
2021-07-01,SUN,solar,12191.6812,thousand megawatthours,2021,7
2021-07-01,NUC,nuclear,68831.593,thousand megawatthours,2021,7
2021-06-01,ALL,all fuels,373856.47762,thousand megawatthours,2021,6
2021-06-01,WND,wind,26671.53368,thousand megawatthours,2021,6
2021-06-01,SUN,solar,12196.77663,thousand megawatthours,2021,6
2021-06-01,NUC,nuclear,66070.373,thousand megawatthours,2021,6
2021-06-01,NG,natural gas,149375.55551,thousand megawatthours,2021,6
2021-06-01,HYC,conventional hydroelectric,23454.07921,thousand megawatthours,2021,6
2021-06-01,COL,"coal, excluding waste coal",86691.50558,thousand megawatthours,2021,6
2021-05-01,ALL,all fuels,320180.96143,thousand megawatthours,2021,5
2021-05-01,WND,wind,33786.50791,thousand megawatthours,2021,5
2021-05-01,SUN,solar,12457.16045,thousand megawatthours,2021,5
2021-05-01,NUC,nuclear,63394.115,thousand megawatthours,2021,5
2021-05-01,NG,natural gas,114675.79155,thousand megawatthours,2021,5
